NORAD_CAT_ID,TLE_LINE1,TLE_LINE2
11,1    11U 59001A   25108.78386811  .00003344  00000-0  17693-2 0  9997,2    11  32.8656 250.5163 1448141 162.9981 202.4826 11.89621643826635
12,1    12U 59001B   25108.86818793  .00000589  00000-0  34712-3 0  9996,2    12  32.8988 279.7469 1650548  19.3176 346.3150 11.47681849725121
22,1    22U 59009A   25108.23181848  .00011674  00000-0  51926-3 0  9993,2    22  50.2762  22.8876 0093251 225.7509 133.5766 15.18029209490530
29,1    29U 60002B   25108.74557493  .00001446  00000-0  22722-3 0  9992,2    29  48.3783 240.4291 0023035 241.6139 118.2451 14.77888939479441
46,1    46U 60007B   25108.96127301  .00001283  00000-0  25231-3 0  9998,2    46  66.6882 303.8799 0204661 252.6661 105.1972 14.53847055395299
47,1    47U 60007C   25108.40668143  .00000876  00000-0  21555-3 0  9994,2    47  66.6628 107.6834 0212705  89.8546 272.6931 14.44613141389877
50,1    50U 60009B   25108.87416488 -.00000060  00000-0  23744-3 0  9992,2    50  47.2334  38.7599 0113026 190.4623 169.3810 12.20154349886347
53,1    53U 60009E   25108.67929781  .00000074  00000-0  15469-2 0  9996,2    53  47.2765 211.7949 0099466 260.1345  98.8202 12.17379359883712
58,1    58U 60013A   25108.48753958  .00000122  00000-0  54242-4 0  9994,2    58  28.3266 134.6935 0164776 291.1160  67.1844 13.46408610177327
59,1    59U 60013B   25108.34981230  .00000158  00000-0  94182-4 0  9992,2    59  28.2468 146.4617 0188956 349.0751  10.5729 13.53134445186452
82,1    82U 61004B   25108.50185927  .00000593  00000-0  51614-3 0  9991,2    82  38.8564 136.9263 1167306 330.4988  23.4450 12.27585537 24611
115,1   115U 60002D   25108.78541142  .00004231  00000-0  40540-3 0  9999,2   115  48.1640  23.1846 0027535 149.9583 210.2920 14.94622029475738
116,1   116U 61015A   25108.71367355  .00000147  00000-0  17014-3 0  9992,2   116  66.8098 209.3938 0078878 215.1710 144.4149 13.92227145238114
